TRI Facility Name,TRI Facility ID,Year,ZIP Code,City,County,State,EPA Region,Chemical,DCN,Industry Sector,NAICS Code,Parent Company,Federal Facility Agency Name,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Score
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2019,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Aluminum oxide (fibrous forms) (1344-28-1),1319218240911,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"3,374,815.02",71.78,0.00,"3,369,360.10","5,383.14","3,393,786.02",0
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2020,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Aluminum oxide (fibrous forms) (1344-28-1),1320219146990,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"2,510,201.50",0.56,0.00,"2,510,200.94",0.00,"2,510,201.50",0
QUEMETCO INC,91745QMTCN720SO,2018,91746,"CITY OF INDUSTRY, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead and lead compounds (N420),1318217368240,331 Primary Metals,"331492 Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",QUEXCO INC,       ,"1,991,616.35",3.47,0.28,0.00,"1,991,612.60","1,991,616.35",37
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2018,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper (7440-50-8),1318217424694,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"1,896,599.48","2,730.41",0.00,"1,893,857.07",12.00,"1,896,599.48",22
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2019,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylene glycol (107-21-1),1319218240986,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"1,620,406.67",9.51,0.00,"1,617,165.06","3,232.10","1,620,523.12",0
SAPUTO CHEESE USA INC,93274KRFTG800EP,2018,93274,"TULARE, CA","TULARE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1318217125715,311 Food,311513 Cheese Manufacturing,SAPUTO CHEESE USA INC,       ,"1,581,123.00",0.00,0.00,0.00,"1,581,123.00","1,581,123.00",0
SAPUTO CHEESE USA INC,93274KRFTG800EP,2019,93274,"TULARE, CA","TULARE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1319217893205,311 Food,311513 Cheese Manufacturing,SAPUTO CHEESE USA INC,       ,"1,522,292.48",0.00,0.00,0.00,"1,522,292.48","1,522,292.48",0
CHEVRON PRODUCTS CO DIV OF CHEVRON USA INC,90245CHVRN324WE,2018,90245,"EL SEGUNDO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1318217326469,324 Petroleum,324110 Petroleum Refineries,CHEVRON CORP,       ,"1,435,280.00",0.00,"1,433,594.00",0.00,"1,686.00","1,435,280.00",0
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2018,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Zinc (7440-66-6),1318217424845,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"1,350,154.61","1,217.23",0.00,"1,348,916.38",21.00,"1,376,377.89",1
QUEMETCO INC,91745QMTCN720SO,2019,91746,"CITY OF INDUSTRY, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead and lead compounds (N420),1319218409555,331 Primary Metals,"331492 Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",QUEXCO INC,       ,"1,332,094.55",6.43,0.62,0.00,"1,332,087.50","1,332,094.55",55
QUEMETCO INC,91745QMTCN720SO,2020,91746,"CITY OF INDUSTRY, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead and lead compounds (N420),1320219188885,331 Primary Metals,"331492 Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",QUEXCO INC,       ,"1,298,584.76",6.64,0.62,0.00,"1,298,577.50","1,298,584.76",56
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2018,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Asbestos (friable) (1332-21-4),1318217203759,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"1,297,344.85",24.85,0.00,"1,297,320.00",0.00,"1,297,344.85","20,294"
